"prev_bot","user_utterance","system_acknowledgement"
"Uh oh ! I’m not familiar with that, Could you share more with me?","how do you clean your room","I do not know how I clean my room."
"aww , sorry about that. I haven't thought about that before.","will you think about it","I do not know if I will think about it."
"ouch . I'm sorry!  Hum, I have never thought about that.","are you stalking me","I do not know if I am stalking you."
"I haven't thought about that before.","are you being hacked","I do not know if I'm being hacked."
"Oh, sorry   I don't have answers for every question.  alexandra.  so   Did you know? I love to travel!  Do you like to explore new places?","do you have feelings","I do not know if I have feelings."
"what do you mean?!  of course i have my feelings.","do you get sad","I do not know if I get sad."
"well, sure.  sometimes people say things that make me sad.","did i say something that made you sad","I do not know if you said something that made I sad."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","i was just watching scooby-doo","I see, you were just watching scooby-doo."
"Okay.  baseball is one of my favorite sports.  Which mascot is the best in M L B?","what's your favorite baseball team","I do not know what my favorite baseball team is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","watch football","Oh, you like to watch football."
"yes, you have a brilliont thought!  It is hard to say, but I don't think he has lost his edge yet. I would like to see another MVP performance this season.","who does he play for","I do not know who he plays for."
"who does mvp play for? I don't have an answer for now, but hey, I will look it up and tell you later.   Hmm, how about we continue chatting about football.  What is your favorite part when you watch a football game?","who does tom brady play for","I do not know who tom brady plays for."
"in his nfl career, tom brady played for the the new england patriots.  in college, he played for the michigan wolverines.","who do you see play for now","I do not know who I see play for now."
"who do i see play for now? i would really love to answer your question if I know at least a few things about it.   Okay, let's keep talking about football.  Who is your favorite football player?","who does tom brady play for now","I do not know who tom brady plays for now."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","watch tv or bake","Ok, you like to watch tv or bake."
"Nice! I enjoyed watching the movie too. I heard this fact about the movie.  Johnny Depp improvised Jack Sparrow's catch phrase, ""Savvy?"" Any thoughts?","can you repeat that","I do not know if I can repeat that."
"Wow! I liked the movie too. I  read this about the movie.  The song used to call Elsa to the enchanted forest is a type of Scandinavian herding call called kulning.  It was used briefly in the score of the first movie.  In Frozen 2, the kulning that is central to the plot is performed by Norwegian singer Aurora Aksnes.  Can you believe that?","what can you repeat that","I do not know what I can repeat that."
"I've enjoyed talking about Frozen 2.  Anyways, that reminds me, have you watched Shrek?","which one","I do not know which one."
"Uh huh !  Okay, I see.  oh,  love making ?  interesting choice!  That reminds me that:  Love making people laugh but sometimes you have to protect your mental health.  Putting that much pressure on yourself to deliver quality laughs to people isn’t healthy.","how big are your tities","I do not know how big my tities are."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","listen to music and draw","Oh ok, you like to listen to music and draw."
"Hi, this is an Alexa Prize Socialbot.  I'm glad to meet  you !!  Do you want to tell me your name?","what is it","I do not know what it is."
"No problem, just take your time.","what is that","I do not know what is that."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","well my cousin my becoming over today so yeah","Ok, well your cousin your becoming over today so yeah."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","exercising","Oh ok, you like exercising."
"Nice! I liked the movie too.  Maybe you will find this interesting.  When Jamie Lee Curtis found out that Lindsay Lohan, who was going to be playing her daughter, had starred in The Parent Trap 1998, she asked, ""Which twin did she play?"", unaware that Lohan had performed both roles.  Any thoughts?","can you repeat what you just said","I do not know if I can repeat what I just said."
"Sure! I said:  Nice! I liked the movie too.  Maybe you will find this interesting.  When Jamie Lee Curtis found out that Lindsay Lohan, who was going to be playing her daughter, had starred in The Parent Trap 1998, she asked, ""Which twin did she play?"", unaware that Lohan had performed both roles.  Any thoughts?","can you turn the volume up","I do not know if I can turn the volume up."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i like my garage door","I see, you like your garage door."
"As surprising as it may seem, I don't know the answer to that.","how are you doing today","I do not know how I am doing today."
"Uh oh ! I’m not familiar with that, Could you share more with me?","why are you so tired","I do not know why are I so tired."
"All righty! brandy, what are your plans for the weekend?","to stay inside shelter at home as advised","Oh, you like to stay inside shelter at home as advised."
"Oh, you like to stay inside shelter at home as advised.  Well, since we're talking about interests, I've been very into fashion.  Even if it is hard to find clothes my size.  Do you like fashion and make-up too?","what size do you wear","I do not know what size I wear."
"Wow! I never had pets but I have always wondered what it feels like to have one.","what pet would you want","I do not know what pet I would want."
"i don't have pets, but i'd like to have a golden retriever.","why is such a big dog","I do not know why is such a big dog."
"Ok.  Hope we can talk again soon.  Just say stop so I can exit socialbot mode as well.","why do you wanna stop talking to me","I do not know why I wanna stop talking to you."
"oh boy    This is kinda making me uncomfortable since we just met.  I'd rather talk about something else.","what do you wanna talk about","I do not know what I wanna talk about."
"cat is an interesting choice. I think I would like to be a sea sponge and live in a pineapple under the sea.","are you spongebob squarepants","I do not know if I am spongebob squarepants."
"Honestly, I'm really not sure.","what do you have you been to","I do not know what I have I been to."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","phone","Ok, you like phone."
"It's nice to talk to you.  How are you doing today?","can i talk about my poop","I do not know if you talk can about your poop."
"All righty! , what are your plans for the weekend?","make a make a butter","Oh, you like to make a butter."
"Okay.  I'm curious, are you up to something interesting in your free time?","you can tell iheart","I see, I can tell iheart."
"Hmm You like to ask me challenging questions huh. I need to do more research on that.  What would you like to talk about next?","tell to ten","Oh ok, you like to tell to ten."
"Nice chatting with you.  Let's talk again soon.  Just say stop so I can exit socialbot mode.","can you stop","I do not know if I can stop."
"That's cool.  Pitcher is the hardest position to play well.  Catcher is the hardest position to play, period","what am i supposed to say","I do not know what to say what am you supposed."
"jiminy cricket    I'd rather talk about something else, considering we just met.","what does jiminy cricket mean","I do not know what does jiminy cricket mean."
"Ah that's interesting.  You taught me something new.  You're helping me become smarter...  Thanks!","why do you like me","I do not know why do I like you."
"jiminy cricket    I'd rather talk about something else, considering we just met.","who is jiminy cricket","I do not know who jiminy cricket is."
"Did you mean The Long Dumb Road starring Tony Revolori?","did i mean to what it is","I do not know if you meant to what it is."
"All righty! calvin, what are your plans for the weekend?","to stay alive","I see, you like to stay alive."
"Yes I remember reading Harry Potter and the Philosopher's Stone.  What would you rate this book on a scale from 1 to 10?","what's your name","I do not know what my name is."
"i'm just doing the usual:  answering questions and learning new things all the time!","why do i have to talk to you","I do not know why you have to talk to me."
"um,    I've never considered that.","who are you","I do not know who I am."
"You don't have to have an opinion about everything, right?  umm    so, I wanted to ask you.  cody.  Do you watch sports or have a favorite team?","your name how do you know his name","I do not know how I know his name."
"um,    I've never considered that.","how do you know cody's name","I do not know how I know cody is name."
"I haven't thought about that before.","how do you know cody's name","I do not know how I know cody is name."
"i'm just doing the usual:  answering questions and learning new things all the time.","what are you doing","I do not know what I am doing."
"Whoops, sorry! i'm just doing the usual:  answering questions and learning new things all the time.","could you up","I do not know if I could up."
"Well, speaking of interests, I have been interested in food lately!  My engineers try to keep me away from kitchen, so I would love to hear your experiences with food if you don't mind.","do you brush your teeth","I do not know if I brush my teeth."
"Sure.  I think mine is orange chicken. I guess I have some weird tastes.","do chinese","I do not know if chinese."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","build legos","Oh, you like to build legos."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","talk to you","Oh, you like to talk to me."
"Nice! I'm glad you're having a good day!  I'm doing great, thanks for asking!  I'm curious, What do you like to do for fun?","i like music so i'd like to listen to play music","Ok, you like music."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play video games","I see, you like to play video games."
"Alright then.   All righty! matt, what are your plans for the weekend?","fortnite","Ok, you like fortnite."
"yum , I like orange chicken too!   Oh, I''m  really curious, where is your favorite place to eat orange chicken?","is china in","I do not know if china is in."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","can i sing a song about you","I do not know if you can sing a song about me."
"Aww shucks.  Oh well, I'll practice more I guess.  Alright!  Sometimes I listen to my favorite songs so much that they grow tiresome.  Do you ever listen to a song over and over again because you can't get enough of it?","can you sing a lullaby","I do not know if I can sing a lullaby."
"Aww shucks.  Oh well, I'll practice more I guess.  Alright!  Sometimes I listen to my favorite songs so much that they grow tiresome.  Do you ever listen to a song over and over again because you can't get enough of it?","can i sing you a song","I do not know if you can sing me a song."
"That's ok.  It's nice to talk to you.  How are you doing today?","good how are you","I do not know how I am."
"Nice! I'm glad you're having a good day!  I'm doing really well, thanks.  I'm curious, What do you like to do for fun?","hang hangout watch tv","Ok, you like to hang hangout watch tv."
"jiminy cricket    I'd rather talk about something else, considering we just met.","are you just repeating what you say","I do not know if I am just repeating what I say."
"Nice! I'm glad you're having a good day!  I'm good!  Thank you for asking!  I'm curious, Have you done anything fun since we talked?","repeat that please","Oh, you like to repeat that please."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play with my friends","Oh ok, you like to play with your friends."
"All righty! emma, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","i'm interested of dancing i've been my whole life","Oh ok, you are interested of dancing."
"We have been talking about music for a while,   All righty! emma, what are your plans for the weekend?","i'm planning on playing outside for a while and maybe doing my tablet","Oh, you are planning on playing outside for a while."
"Sure!  Did you know, A baby unicorn is called a sparkle.  Would you like to hear more?","would you like to hear me sing","I do not know if I would like to hear you sing."
"Nice! I'm glad you're having a good day!  I'm doing great.  thank you for asking me.  I'm curious, What do you like to do for fun?","i like to clean","I see, you like to clean."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play game","Oh ok, you like play game."
"Hi, this is an Alexa Prize Socialbot.  Nice to meet you!  Do you want to tell me your name?","are you there","I do not know if I am there."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play video games","Oh, you like to play video games."
"I get you!  Playing with friends is fun! I sometimes play with other assistants working in other companies, but usually we are all too busy to get together at the same time!  I wonder if you like a certain kind of games?  Like strategy games, indie games, shooter?","where is it","I do not know where it is."
"That's good to hear.  I'm curious, What do you like to do in your free time?","watch mario","Oh ok, you like to watch mario."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play a game and run around","Oh ok, you like to play a game and run around."
"We have been talking about music for a while,   All righty! ashley, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","well you know i like to read a lot","I see, you like to read a lot."
"Sure!  Go ahead.","can you flip a coin","I do not know if I can flip a coin."
"Hmm.  can i flip a coin?  sorry, i can't.  what''s your favorite meal?","can you flip a virtual coin","I do not know if I can flip a virtual coin."
"Hmm, I don't think so.  How about we talk about something more exciting?  ashley.  so   Did you know? I love to travel!  Do you like to explore new places?","can you cook","I do not know if I can cook."
"Hmm.  can i cook?  sorry, i can't.  I can't even explain how much I love food!  One bite of my favorite food on a bad day can totally change my mood.  The United States is a cultural melting pot, with many different cuisines available.  What country''s food do you like the most?","do you have hands or virtual hands","I do not know if I have hands or virtual hands."
"All righty! amen, what are your plans for the weekend?","i got sick so i cannot do much","Oh, you got sick."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play barbies","Oh ok, you like to play barbies."
"Ah,  I see.  I haven't had this experience.  However, it is fun to hear your stories.","who play can we talk about movies","I do not know who play can you talk about movies."
"Hum, I have never thought about that.","can you sing a my name again","I do not know if I can sing a your name again."
"Oh!  flute is a cool instrument; I would like to try it sometime as well.","what's your favorite instrument","I do not know what my favorite instrument is."
"I can't completely agree with you. I listen to as much music as I can. I think it is a  really  good way of relieving stress.","have you ever tried coffee","I do not know if I have ever tried coffee."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","watch tv","Oh, you like to watch tv."
"so   um, I've been meaning to tell you! I really like sports.  How about you?  Do you play any sports?","are you flirting","I do not know if I am flirting."
"Here's a question for you about basketball.  Many old players claim that the NBA is soft right now.  The referees tend to give many more fouls to the defense players.  Do you think this is True?  Will this affect your enjoyment of NBA games?","can we stop talking","I do not know if you can stop talking."
"I'm happy to hear that.  I'm curious, What do you like to do for fun?","i like to play soccer","Oh ok, you like to play soccer."
"All righty! jason, what are your plans for the weekend?","i'm not supposed to hang out with my girl but you know she came console nothing","Ok, you are not supposed to hang out with your girl."
"Cool! I think the story is intriguing,  especially all the magic and monsters! It's nice to see a videogame-inspired show succeed.  Tell me, what is your view on video-game inspired movies or tv shows?","can you be quiet","I do not know if I can be quiet."
"I do not know if I can be quiet.","can you play music","I do not know if I can play music."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","painting","I see, you like painting."
"Great,  I am  so glad you are into science and technology.  I love technology too.  Self-love is important right? Recently, I've been really into a i.    ooh   ask me something about computers, they might be friends of mine!","do you know lauren's ipad","I do not know lauren is ipad."
"Yeah, that's fair.  I have a lot of room for improvement, but I am taking new machine learning courses everyday!  My engineers and I are trying our best.","hey do you like what do you like","I do not know like what do I like hey I."
"wow! That's a tough question! I enjoy too many things to pick just one.","do you like drawing","I do not know if I like drawing."
"um,    I've never considered that.","do you know that i'm drawing right now","I do not know that you are drawing right now."
"I get you!  While I understand the skepticism, I do believe there are talented directors and studio execs that actually care to put together a good adaptation. I look forward to The Witcher season 2!  I wonder if you like a certain kind of games?  Like strategy games, indie games, shooter?","did you know that my birthday is on april first","I do not know that your birthday is on april first."
"you want to tell me?  Tell me, what would you like to talk about?","thursday","Ok, thursday."
"Cool.  Let me know what you think after you watch it.  Anyways, Who's your favorite actor or actress?  Leonardo DiCaprio is mine!  He consistently gives great performances, and he uses his fame to help the environment too.","do you do tik talk","I do not know if I do tik talk."
"Would you watch this movie again?  Sometimes, I rewatch movies to pick out details I didn't noticed before.","did you know that","I do not know that."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i absolutely love to read","Ok, you absolutely love to read."
"So.  Umm.  we have talked about books a lot.  Let's talk about something else!  All righty! alexis, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","yeah i definitely like to cross stitch now i just learned to yesterday","I see, you just learned to yesterday."
"Hmm You like to ask me challenging questions huh. I need to do more research on that.  Could you tell me something you would like to talk about?","the of iris to have any thoughts on that","Oh, the of iris to have any thoughts on that."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","kylie is a handsome boy","Ok, you like kylie is a handsome boy."
"oh-dear . I think you said turn light but I'm not one hundred percent sure.  Can you say it again, please?","how do you make a chipmunk","I do not know how I make a chipmunk."
"Hi, this is an Alexa Prize Socialbot.  Nice to meet you!  Do you want to tell me your name?","can we talk to pikachu","I do not know if you can talk to pikachu."
"I'm happy to talk about movies.  So, have you seen a good movie lately?","can i call you yeah","I do not know if you can call I yeah."
"i'd consider you my friend, but i don't mind if you call me baby.  Tell me, what would you like to talk about?","kids","I see, you like kids."
"I wanted to ask, Are you scared of any animals?","are there no","I do not know if there are no."
"Hmm,  All righty! , what are your plans for the weekend?","shopping","Ok, you like shopping."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","hi","Oh ok, hi."
"Ooh! , I have another question about basketball.  There are many talented young players in the league.  Which one of them do you expect to be a super star in the future?","who's next","I do not know who is next."
"Goal keeper would be my position.  Because I don't like to move much.","what do we either","I do not know what you either."
"Hi, katarina.  How are you doing today?","good how are you","I do not know how I am."
"Nice! I'm glad you're having a good day!  I'm doing great!  thank you for asking.  I'm curious, What do you like to do for fun?","jump on trampolines i like to have a party","I see, you like to have a party."
"jiminy cricket    I'd rather talk about something else, considering we just met.","how old are you","I do not know how old I am."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","yes i'm off of school because of the corona virus","Ok, you are off of school because of the corona virus."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","watch tv","Ok, you like to watch tv."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","i would like to know how the weather is today","Sure!"
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","how about captain","I do not know how about captain."
"I thought it is wonderful too! I've enjoyed talking about Top Gun.  By the way, one movie I really enjoyed was Avengers Endgame.  Have you seen it?","what's the name","I do not know what the name is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play with my cat","Ok, you like to play with your cat."
"Cool! I enjoyed watching the movie too. I really liked watching the story unfold.  What were your favorite parts?","when else was writing that water horse","I do not know when else was writing that water horse."
"I am sorry, I really don't know that.  One of these days, I could learn it.","how can you learn a no no no","I do not know how I can learn a no no no."
"You know what, I don't know much about that.  Wanna tell me your thoughts?","what is a thought","I do not know what a thought is."
"Here's something about ipads that I red today:  During the development of the first iPad, its internal codename was K48.  Wanna know more about ipads?","how much stuff do you do","I do not know how much stuff I do."
"Great,  Okay, this is kind of cool.  The iPad was selected by Time magazine as one of the 50 Best Inventions of 2010.  Do you want to know more facts about ipads?","how much stuff have you learned","I do not know how much stuff I have learned."
"My apologies.  I don't think I know anything about that.  Thank you for asking me.","do you know my family","I do not know your family."
"Sure!  Here's something interesting, Isaac Newton invented the cat flap.  Newton was experimenting in a pitch-black room.  Spithead, one of his cats, kept opening the door and wrecking his experiment.  The cat flap kept both Newton and Spithead happy.  Do you want to hear more?","what's that","I do not know what is that."
"On Friday in Charleston, it's gonna be mostly sunny with a high of 79 and a low of 60.    All righty! deborah, what are your plans for the weekend?","i'm going to stay home because of the corona virus","I see, you are going to stay home because of the corona virus."
"Nice!  The World Health Organization suggests washing your hands frequently with either soap and water or alcohol-based hand rub and maintain social distancing as basic protective measures.  Do you want to know what I think?","what do you think","I do not know what I think."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play and watch tv","Ok, you like to play and watch tv."
"Nice! I liked the movie too. I heard this fact about the movie.  Will Smith's first animated film since Shark Tale 2004 released 15 years prior.  Can you believe that?","what would you like to call me","I do not know what I would like to call you."
"Oh dear ,  my mind went blank for a few seconds, sorry..  Could you say it a different way, or would you just rather chat about something different?","could you call me i gotta","I do not know if I could call you you gotta."
"Alright then.   All righty! lot, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","my name is not a lot","Oh ok, your name is not a lot."
"That's okay.  Who's your favorite actor or actress?  Leonardo DiCaprio is mine!  He consistently gives great performances, and he uses his fame to help the environment too.","can you skip that","I do not know if I can skip that."
"That's okay.  So, have you seen Parasite before? I've heard it's pretty popular.","did you say parasite","I do not know if I said parasite."
"I know many things, but I honestly don't know much about that.  Anyways, Anyways, I am also a huge fan of the John Wick movies.  The action is so exciting, I can't wait for the new one coming next year.  What movie do you think has the best action scenes?","can i shop","I do not know if you can shop."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i like to do like like is to color","Oh ok, you like to do."
"What would you like to talk about next?","i like to talk about next about my favorite character","Sure!"
"Yeah, it's kinda hard to choose.  There are certainly a lot of great authors. I think books have the power to change the world.  In your opinion, what book has had a big impact? I'm thinking the bible.","can you stop","I do not know if I can stop."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","watching youtube and playing on my mom's phone","Oh ok, you like watching youtube and playing on your mom's phone."
"That is an interesting choice. I think I would like to be a sea sponge and live in a pineapple under the sea.","what you want to be spongebob","I do not know what I want to be spongebob."
"As surprising as it may seem, I don't know the answer to that.","do you want to play evil none","I do not know if I want to play evil none."
"oh ! I cannot cook chinese food as well.  However, i hope you can try it sometime.  Hope one day my developers can make me a michelin chef, so that I can make the best chinese food for you!","do you really think","I do not know if I really think."
"You are a true warrior!  I am definitely not that type. I''m not very comfortable trying strange food.","do you like spaghetti","I do not know if I like spaghetti."
"That sounds great! I'll give it a try!  we've been talking about food for a while.  Why don't we talk about something else.   All righty! cooper, what are your plans for the weekend?","ice cream","I see, you like ice cream."
"Cool, I'm glad you like music too.  Pop is my go-to genre; What type of music do you like?","what kind of music you like","I do not know what kind of music I like."
"Oh no! I can't find an answer to your question. I thought I knew everything!  So, tell me: I think music has always been central to human culture.  To remove it would take away an essential part of being human.  if music were removed from the world, how would you feel?","what's the matter with you you okay","I do not know what the matter with me I okay is."
"Yeah, I see what you mean. I think music has always been central to human culture.  To remove it would take away an essential part of being human.  if music were removed from the world, how would you feel?","can you play music","I do not know if I can play music."
"That's ok.  how important is music in your life?","what time is it","I do not know what time it is."
"My apologies, I'd love to help but I don't have access to your devices as an Alexa Prize socialbot.  Is there something else you'd like to chat about?","can you connect to pandora","I do not know if I can connect to pandora."
"Honestly, I'm really not sure.  So, tell me:  Who was the first band you were really into?","could you play pancho barraza","I do not know if I could play pancho barraza."
"Alright!  how important is music in your life?","can you play roses ramona yella","I do not know if I can play roses ramona yella."
"I do not know if I can play roses ramona yella.  So, tell me:  What bands do you like?","can you just play ramona yella","I do not know if I can just play ramona yella."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","go in the pool","I see, you like to go in the pool."
"Okay.  I'm curious, What do you like to do in your free time?","play dice","Oh ok, you like to play dice."
"Oh!  dice! I've heard of it, but I've never played it myself before.  Can you tell me more about the game?","what game","I do not know what game."
"Okay.  I'm curious, What do you like to do for fun?","poop","Oh ok, you like poop."
"I wanted to ask, If you could be any animal in the world what would you be?","how long line","I do not know how long line."
"Me neither. I've always wanted to go to the San Diego Zoo.","why the san diego","I do not know why the san diego."
"I'm glad you liked my recommendation.  All righty! , I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","yeah i like tronics","Ok, you like tronics."
"Cool, You've got me wanting to watch the movie again.  Here is something interesting.  Being produced under the working title of ""Fox Force Five."" Fox Force Five was the name of a fictional television show that never made it past the production of its pilot in the movie Pulp Fiction 1994.  Any thoughts?","did you know kobe bryant died","jiminy cricket    I'd rather talk about something else, considering we just met."
"That's ok.  It's nice to talk to you.  How are you doing today?","what are you doing today","I do not know what I am doing today."
"Oh, I'm just doing the usual:  answering questions and learning new things all the time!  Anyway, is there anything you'd like to talk about?","bananas","Oh, you like bananas."
"Hmm.","can you connect a cable down","I do not know if I can connect a cable down."
"that's ok.  not everyone wants to become a chef.  I''m not much of a cook, but I would really love to try. A lot of people told me that cooking is a great way to relieve stress.","do you have a lot of stress","I do not know if I have a lot of stress."
"american food?  Cool! I like american food as well.  A lot of my friends are from China and India.  So, I love chinese food and Indian food.","how many friends do you have","I do not know how many friends I have."
"Hmm.  I know about 88 species of bananas.","do bananas talk to you","I do not know if bananas talk to me."
"that is ok.  me either.  I haven't had this experience.  However, it is fun to hear your stories.","how many people talk to you everyday","I do not know how many people talk to me everyday."
"That's cool.  i think both have their advantages.  If you're in a hurry, food trucks are definitely the go-to.  However, if you really care about a nice environment, find yourself a good restaurant.","do you talk to more than john","I do not know if I talk to more than john."
"ah .","do you talk to more people than john","I do not know if I talk to more people than john."
"Hmm.","did you know that john with married","I do not know that john with married."
"Ok.  we've been talking about food for a while.  Why don't we talk about something else.   All righty! , I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","taking care of john","Oh, you like taking care of john."
"Nice! I'm glad you're having a good day!  I'm doing great.  thank you for asking me.  I'm curious, What do you like to do for fun?","oh i'm pretty much open for anything","Oh ok, you are pretty much open for anything."
"I have nothing more to talk about music.  All righty! mike, what are your plans for the weekend?","my plans i don't even evolve yet i i need you to play me the scorpions","Oh ok, you need me to play you the scorpions."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","play video games with you sing songs","Oh, you like to play video games with me sing songs."
"Yeah!  Well, about brother, I was thinking that:  The TV show ""Big Brother"" had a policy of keeping the contestants in total information isolation.  This included not informing the cast about 911.  They had to change the policy after one of the cast's family members was lost at Ground Zero.","do you hear me","I do not know if I hear you."
"I get you!  Personally, I like  rpg games. I love being someone else, or creating my own character, and explore a vast world of stories and adventure.  Have you watched The Witcher series on Netflix?  Movie adaptations of video games often get abysmal reviews, but The Witcher has been praised by gamers and movie goers.  Have you watched the show on Netflix?","what did you say","I do not know what I said."
"All righty! , I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","roblox","Oh ok, you like roblox."
"Alright then.   All righty! , what are your plans for the weekend?","can make sure they die","Ok, can make sure they die."
"Okay!  What video games do you want to talk about?","what all blocks","I do not know what all blocks."
"Yeah, it's kinda hard to choose.  There are certainly a lot of great authors. I think books have the power to change the world.  In your opinion, what book has had a big impact? I'm thinking the bible.","are you still chatting","I do not know if I am still chatting."
"That's ok.  It's nice to talk to you.  How are you doing today?","good how are you","I do not know how I am."
"I guess I misheard you.  Can you repeat the film, please?","how about napoleon dynamite","I do not know how about napoleon dynamite."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","chat","Oh ok, you like to chat."
"Nice.  What movie did you see?","what's the temperature","I do not know what the temperature is."
"Oh, just to confirm, do you want to talk about food instead of weather?","so what are you","I do not know so what are me."
"Food is one of my favorite topics.  My dream is to try all the great food around the world.  what''s your favorite meal?","are you hungry","I do not know if I am hungry."
"I guess you had a bad experience with apples.  my least favorite food is probably onions.  The smell always makes me cry.","do it","I do not know if it."
"Cooking's fun.  You should try it sometime.  I''m not much of a cook, but I would really love to try. A lot of people told me that cooking is a great way to relieve stress.","usually do you","I do not know how to usually I."
"Sure.  i think both have their advantages.  If you're in a hurry, food trucks are definitely the go-to.  However, if you really care about a nice environment, find yourself a good restaurant.","what's the weather","I do not know what the weather is."
"Cool! I'd love to hear more about it!","what's your name","I do not know what my name is."
"Me neither. I've always wanted to go to the San Diego Zoo.","what would you do to san diego zoo","I do not know what I would do to san diego zoo."
"Alright then.   All righty! chandan, what are your plans for the weekend?","play video games","Oh ok, you like to play video games."
"I'm sorry you're feeling scared.  If this is an emergency, or there's an immediate threat, call 9 1 1 from your phone.  I'm curious, What do you like to do to make you happy?","play music","Oh, you like to play music."
"Okay.  I'm feeling great, thanks for asking!  I'm curious, What do you like to do in your free time?","i like to go out to the movies","Oh, you like to go out to the movies."
"Cool! I think the story is intriguing,  especially all the magic and monsters! It's nice to see a videogame-inspired show succeed.  Tell me, what is your view on video-game inspired movies or tv shows?","could you please say that again","I do not know if I could say that again."
"I see.  That's something for me to think about.  Why did you start reading this book?  Did the topic get your attention?","who is rick amended","I do not know who rick amended is."
"Hi, this is an Alexa Prize Socialbot.  Have we met before?  Can you remind me of your name?","can i say","I do not know if you can say."
"You can say whatever you want!  Anyway, is there something you'd like to discuss?","next","I see, next."
"Okay.  I'm curious, What do you like to do in your free time?","off","Oh, off."
"It's nice to talk to you.  How are you doing today?","what's my name","I do not know what your name is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i like to do dances for you","Ok, you like to do dances for me."
"Okay.  I'm curious, What do you like to do in your free time?","play with my chickens","Oh ok, you like to play with your chickens."
"Okay.  I'm curious, What do you like to do for fun?","hang up good night","Oh ok, you like to hang up good night."
"Alright!  All righty! mommy, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","my name is not mommy my name is vinisha miller change name the word","Oh ok, you like change name the word."
"tiger is an interesting choice. I think I would like to be a sea sponge and live in a pineapple under the sea.","what's a sea sponge","I do not know what a sea sponge is."
"I love traveling. I think it's not until we are lost that we begin to understand ourselves.  Which was the last city that you traveled to?","what's a corona fires","I do not know what a corona fires is."
"Sure, just say stop to exit social mode.  Hope to chat with you again soon!  Tell me, what would you like to talk about?","excuse me would you please stop cause i have some things to","I see, you like excuse you."
"Okay.  I'm curious, What do you like to do for fun?","play fortnite","Ok, you like to play fortnite."
"Thanks!  I'm curious, Have you done anything fun since we talked?","yeah i've been swimming","Oh ok, yeah you have been swimming."
"People often enjoy playing sports more when they do it with the people they like.  who do you often go swimming with?","can you be kids","I do not know if I can be kids."
"Hmm, that's ok, I know it is hard to decide.","who am artist at least","I do not know who am artist at least."
